"Name","ID","Level","Prep_Xanax","Prep_Overdose","War_Hits","Non_War_Hits","Hospital","Assists","War_Xanax","War_Overdose","Boosters","Cans","Refills","Activity","Respect","Respect_Lost","Score_Up","Score_Down","E_Wasted","E_Stolen"
"Grizzlah","1429672",91,1,TRUE,31,0,19,7,2,0,0,0,0,1.403,172.47,53.63,172.47,214.31,0,200
"DoctrHorrible","1823420",60,4,TRUE,83,3,12,2,2,0,3,0,1,5.882,604.25,21.27,599.81,81.33,200,25
"Petrie","1829717",60,3,FALSE,79,0,10,0,0,0,6,0,1,3.58,549.18,19.97,549.18,76.45,200,50
"Shiroe-","1896021",31,4,TRUE,16,0,12,1,2,0,0,0,0,1.052,102.37,13.7,102.37,51.09,125,100
"Assasim","2322535",39,0,FALSE,3,0,20,0,0,0,0,0,0,0.241,23.6,23.25,23.6,89.62,25,75
"wraythe","2393169",75,7,FALSE,89,1,11,6,4,0,2,1,2,5.118,626.14,26.76,624.68,106.87,175,75
"Qwerty6591","2418981",59,6,FALSE,155,0,15,8,3,0,6,1,1,1.985,872.489999999999,33.49,872.489999999999,133.87,100,100
"EnemyArmour","2425645",62,7,FALSE,63,0,9,0,3,0,0,13,0,3.939,302.8,16.55,302.8,64.2,25,125
"Pestacyde","2533627",52,2,FALSE,25,0,22,0,0,0,0,0,1,0.255,130.89,26.41,130.89,102.55,50,50
"Quakepk","2544181",60,3,FALSE,39,0,16,0,1,0,0,0,0,0.488,151.7,27.49,151.7,99.94,50,0
"feelix","2547000",65,6,TRUE,75,0,1,1,0,0,0,0,1,1.327,324.32,2.32,324.32,9.27,25,50
"mmmuuu","2549322",58,5,FALSE,28,0,13,0,2,0,0,0,0,1.107,86.18,25.14,86.18,100.47,150,150
"Axelent","2550458",26,0,TRUE,71,0,14,2,0,1,5,3,4,6.039,330.32,21.19,330.32,74.72,100,275
"SamanthaGreene","2570811",15,0,FALSE,18,0,10,0,1,0,0,0,0,0.959,61.51,13.67,61.51,54.62,0,300
"n0wae","2571578",28,1,FALSE,1,0,26,0,0,0,0,0,0,0.145,6.8,23.67,6.8,93.67,25,0
"Lahkiin","2624264",43,4,FALSE,42,2,7,0,0,0,0,0,0,0.557,235.04,8.58,229.84,34.3,50,25
"ARandomCitizen","2640469",20,7,FALSE,81,0,13,0,3,0,1,3,1,4.812,299.21,22.86,299.21,81.35,125,275
"Trisss","2660225",40,3,FALSE,6,1,5,0,0,0,0,0,0,0.106,25.98,7.09,25.98,28.3,50,0
"itikrock","2663714",30,0,FALSE,23,0,21,0,0,0,0,0,0,0.486,122.5,26.21,122.5,102.31,25,75
"VincentLago","2670017",48,2,FALSE,3,4,23,0,0,0,0,0,0,0.354,39.49,26.81,13.22,94.88,25,100
"asksachinsaini","2676012",70,9,FALSE,109,0,9,2,5,1,0,0,1,4.128,569.76,27.5,569.76,109.95,125,200
"Damn","2693850",70,7,TRUE,93,0,15,0,4,0,1,0,2,1.129,522.47,40.85,522.47,153.25,25,250
"Epiwssa","2746294",50,9,FALSE,78,3,21,1,4,0,0,0,2,3.639,344.7,34.34,340.8,117.16,200,25
"Mr_Midnight_","2775530",25,1,FALSE,7,0,11,0,0,0,0,0,0,0.745,34.35,12.13,34.35,48.49,50,200
"Danger-R_U_N","2862154",35,0,FALSE,18,3,12,0,0,1,0,0,1,0.735,110.69,17.32,104.48,69.21,50,0
"Shalhevet","2881226",41,2,FALSE,35,0,3,5,0,0,0,0,1,1.622,245.34,2.52,245.34,8.35,75,0
"skaloc","2991441",40,2,TRUE,29,7,9,0,3,0,0,0,1,4.477,198.97,15.27,185.46,61.02,75,50
"Geldimir","3249184",21,4,FALSE,1,0,17,0,0,0,0,0,0,1.711,6.74,14.49,6.74,57.93,100,25
"Daxern","1751285",26,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RainMaker_","2467147",35,0,FALSE,0,0,35,0,0,0,0,0,0,0,0,52.17,0,198.38,0,100
"Yoda1987","2548981",51,0,FALSE,0,0,23,0,0,0,0,0,0,0.033,0,34.83,0,119.17,0,0
"SpankyPrime","1758738",30,0,FALSE,0,0,16,0,0,0,0,0,0,0.176,0,16.9,0,67.59,0,100
"BliNk1","2870943",21,0,FALSE,0,0,20,0,1,0,0,0,0,0.145,0,28.41,0,113.59,0,150
"yourguyforstuff","2907417",26,2,FALSE,0,0,23,0,0,0,0,0,0,0.178,0,32.16,0,98.57,0,0
"DamianItami","2550909",22,0,FALSE,0,0,30,0,0,0,0,0,0,0,0,39.09,0,152.69,0,0
"UncleReenu","3212300",16,0,FALSE,0,0,29,0,0,0,0,0,0,0.176,0,21.9,0,79.48,0,0
"jokoer","3197727",7,0,FALSE,0,0,33,0,0,0,0,0,0,0.067,0,22.21,0,78.57,0,25
